Vaalipiiri,id,Sukunimi,Etunimi,Puolue,Ikä,Sukupuoli,Kansanedustajana edellisessä eduskunnassa,Valittu kansanedustajaksi 2011,Sitoutumaton,Kotikunta,Ehdokasnumero,Ammatti,Lapsia,Perheeseeni kuuluu,Vapaa-ajalla sydäntäni lähinnä on,Mitä asioita haluat edistää tai ajaa tulevalla vaalikaudella,Äidinkieli,Kielitaito,Koulutus,Ammattiasema,Työnantaja,Uskonnollinen yhteisö,Poliittisen puolueen jäsen,Poliittinen kokemus,Käytän vaaleihin rahaa,Ulkopuolisen rahoituksen osuus,Tärkein ulkopuolinen rahoituslähde,Taloudelliset sidonnaisuudet,Vuositulot,Sijoitusten arvo (esim. osakkeet - rahastot),1. Suomen kuuluu jatkossakin tukea taloudellisesti ahdinkoon joutuneita EU-maita.,"2. Suomessa on korruptiota, joka vaikuttaa poliittisiin päätöksiin.",3. Kouluissa ja oppilaitoksissa on otettava käyttöön viikoittainen kasvisruokapäivä.,4. Rekisteröityneille homopareille pitää kuulua kaikki samat oikeudet kuin avioliiton solmineille heteropareille.,5. Maahanmuuttajien vastaanottamista ja tukemista verovaroin on tiukennettava.,6. Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.,7. Suomen sotilaallinen läsnäolo Afganistanissa on ollut virhe.,8. Presidentin pitää tulevaisuudessakin johtaa Suomen ulko- ja turvallisuuspolitiikkaa yhteistoiminnassa hallituksen kanssa.,9. Yksilön vastuuta omasta ja perheensä hyvinvoinnista on lisättävä.,10. Ruotsin kielen opiskelun pitää olla kouluissa pakollista.,11. Yritysten hallituksiin on säädettävä lailla sukupuolikiintiöt.,12. Asuntolainojen korkovähennykset on poistettava asteittain.,13. On pikaisesti säädettävä vanhustenhoitolaki joka määrittelee laadukkaan hoidon kriteerit ja sanktiot niiden laiminlyömisestä.,14. Kunnalliset peruspalvelut on tuotettava ensisijaisesti kuntien omalla henkilöstöllä.,"15. Lasten päivähoito-oikeutta tulee voida rajoittaa perheissä, joissa ainakin toinen vanhemmista on kotona.","16. Maatalouden tukia on ohjattava siten, että vuonna 2030 ainakin puolet suomalaisesta ruokatuotannosta on luomua.",17. Yritystukien ehdoksi on asetettava suomalaisten työllistäminen.,18. Armeijan uudistaminen ei ole mahdollista ilman varuskuntien määrän karsimista.,19. Lakko-oikeutta ei ole tarvetta rajoittaa millään tavalla.,20. Seuraavan eduskunnan ei tule nostaa eläkeikää.,21. Turpeen energiakäyttöä on vähennettävä ilmaston lämpenemisen hillitsemiseksi.,22. Työttömiä on kannustettava töihin porrastamalla työttömyysturvaa nykyistä voimakkaammin.,23. Yritysten voitoista maksamaa veroa pitää laskea.,24. Työttömyyden lievittämiseksi viikoittainen työaika on lyhennettävä 35 tuntiin.,"25. Eläkemaksuja voidaan korottaa tuntuvasti, jotta nykyiset eläke-edut turvataan.",26. Seuraavalla vaalikaudella on kiristettävä suurituloisten verotusta.,27. Valtion on taloutensa tasapainottamiseksi leikattava menoja.,28. Taiteilijoita on koulutettava Suomeen nykyistä vähemmän.,29. Korkeakouluopiskelijoiden pitäisi rahoittaa opintojaan nykyistä enemmän lainarahalla.,30. Tulevalla vaalikaudella tulee myöntää lupa ainakin yhden uuden ydinvoimalan rakentamiselle.,31. Helsingissä on otettava käyttöön ruuhkamaksut yksityisautoille.,31. Uudenmaan kaupunkeja ja kuntia pitää yhdistää tarvittaessa pakkokeinoin.,31. Kiinteä maantieyhteys Nauvon ja Paraisten välillä on tulevaisuuden elävän saariston edellytys.,"31. Jos varuskuntia tulee lakkauttaa, niin Parola tulee lakkauttaa ennemmin kuin Lahden Hennala.",31. Pirkanmaan lähijunaliikenteen lisääminen on tärkeämpää kuin Tampereen pikaraitiotie.,31. Keskustojen ulkopuolisille jättimarketeille ja kauppakeskuksille ei pidä myöntää uusia rakennuslupia.,31. Tulevalla vaalikaudella on aloitettava suunnittelutyö kiinteän liikenneyhteyden (tie/tunneli) saamiseksi Merenkurkkuun Vaasan ja Uumajan välille.,31. Suomen pitää edistää EU:n ja Venäjän välisen viisumivapauden syntymistä.,31. Vapaaehtoiset sopimukset ovat riittäviä saimaannorpan suojelemiseksi.,31. Maakunnan kehittämisessä pitää panostaa ensisijaisesti Kuopioon alueen veturina.,31. Liikenteen kehittämisen painopiste tulee Keski-Suomessa siirtää nelostiestä uusiin nopeisiin junayhteyksiin,"31. Kunnan pitää saada itse valita, mitä kieliä sen kouluissa opetetaan äidinkielen ja englannin lisäksi.",31. Kaksoisraiteen rakentaminen Ouluun on tärkeämpää kuin Nelostien perusparantaminen välillä Jyväskylä-Oulu.,31. Lappiin ei pidä rakentaa ydinvoimalaa.,31. Ahvenanmaan tulee saada oma verotusoikeus.,"32. Helsingin, Espoon, Kauniaisen ja Vantaan on yhdistyttävä",32. Uudellemaalle on saatava toinen kansainvälinen lentokenttä kuntien vastustuksesta huolimatta.,32. Selkämeren kansallispuiston ei tulisi ulottua Varsinais-Suomeen.,32. Vihdistä Forssan kautta Poriin kulkevan kakkostien parantamisen pitää olla etusijalla Lahden eteläisen kehätien rakentamiseen nähden.,32. Seuraavalla vaalikaudella mahdollisimman monen Pirkanmaan kunnan pitäisi yhdistyä Suur-Tampereeksi.,32. Satakunnassa pitäisi olla tulevan vaalikauden lopussa korkeintaan kymmenen kuntaa.,32. Keskustojen ulkopuolisille jättimarketeille ja kauppakeskuksille ei pidä myöntää uusia rakennuslupia,32. Valtatie 6 pikainen loppuunsaattaminen moottoritieksi Kaakkois-Suomessa on alueen tärkein tiehanke.,32. Jättimarketteja ja kauppakeskuksia pitää voida rakentaa myös keskustojen ulkopuolelle.,32. Suomen kouluissa tulisi olla mahdollista valita venäjä B-kieleksi ruotsin sijaan.,32. Keski-Suomen kuntien lukumäärä tulee puolittaa nykyisestä.,32. Kuntia ei saa pakottaa järjestämään yhdessä mitään palveluja.,32. Kuntaliitoksia on jatkettava määrätietoisesti Oulun vaalipiirissä vastustuksesta huolimatta.,32. Valtionhallinnon alueellistaminen on hyödyttänyt Lapissa vain Rovaniemeä.,32. Ahvenanmaan itsehallinnon kehittämisen tavoite tulee olla itsenäisyys Suomesta.,33. Helsingissä maahanmuuttajalapset on sijoitettava tasaisesti eri kouluihin.,"33. Uudellemaalle voidaan perustaa uraanikaivos, jos uraania alueelta löytyy.",33. Valtion tulee voida tehdä päätös suuremmista tuulivoimapuistoista kuulematta kuntia tai kesäasukkaita.,33. Tulevan eduskunnan tulee pakottaa kuntia kuntaliitoksiin Kanta- ja Päijät-Hämeessä.,33. Tampereen Keskusareena ja siihen liittyvä kansihanke on toteutettava täydessä laajuudessaan.,33. Pori - Forssa - Helsinki -oikorata on turha hanke.,33. Maakuntarajoja tulee Vaasan vaalipiirin alueella tarkistaa tulevan vaalikauden aikana.,"33. Kymen vaalipiiriin riittäisi korkeintaan neljä kuntaa (Kotka, Kouvola, Lappeenranta, Imatra).",33. Valtatie 5:n korjaus välillä Mikkeli-Juva on tärkeämpi väylähanke lähivuosina kuin rataverkon kunnostaminen.,"33. Pohjois-Savo olisi sopiva paikka uraanikaivokselle, jos alueelta löytyisi uraania.",33. Äänekosken Kivettyyn voidaan perustaa ydinjätteelle loppusijoituspaikka.,33. VR:n lähivuosien tärkein investointi pohjoiskarjalaisten matkustajien kannalta on Helsingin ratapihan kunnostaminen ja laajentaminen.,33. Talvivaaran kaivoksen uraanilöytö on hyödynnettävä vaikka lähialueet vastustaisivat sitä.,33. Vuotoksen allas pitäisi rakentaa.,33. Ahvenanmaalaiset eivät voi vaikuttaa paljonkaan asioihinsa eduskuntavaalien kautta.,34. Mielestäni seuraavassa hallituksessa on oltava mukana:,35. Suosikkini tulevan hallituksen pääministeriksi on (vain yksi):
01 Helsingin vaalipiiri,3019,Abdulla,Zahra,Vihreä liitto,45,F,0,0,0,Helsinki,2,kätilö,kyllä,Puoliso ja nuorin lapsista. Aikuiset pojat ovat jo muutttaneet pois kotoa.,liikunta,"Tärkein tavoitteeni on epätasa-arvon vähentäminen.Koulutus ei saa luoda kuiluja. Peruspalveluja on saatava ajoissa. Perheiden selviytymistä on tuettava. Kuntarajat eivät saa olla yhteistyön este. Maahanmuuttajien on voitava olla voimavara, ei rasite. Suomen rooli maailmanpolitiikassa on olla rauhan asialla.",muu,suomi|englanti|venäjä|joku muu,ammattitutkinto,asiantuntijatehtävä,julkinen,muu uskonnollinen yhteisö,kyllä,kunnan- tai kaupunginvaltuusto,1 000-5 000 euroa,81-100%,yksityiset lahjoitukset,,alle 20 000 euroa,ei sijoituksia,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,,,,,,,,,,,,,,,jokseenkin samaa mieltä,,,,,,,,,,,,,,,jokseenkin eri mieltä,,,,,,,,,,,,,,,vihreät,Anni Sinnemäki
01 Helsingin vaalipiiri,2484,Ahlroth,Lauri,Muutos 2011,25,M,0,0,0,Helsinki,113,"diplomi-insinööri, tutkija",ei,,,Ajan erityisesti demokratian lisäämistä ja kuilun kaventamista ammattipoliitikoiden ja kansalaisten välillä. Välineitä tähän ovat kansanäänestysten lisääminen ja kansanedustajakausien rajaaminen esim. kolmeen.,,suomi|ruotsi|englanti|saksa|venäjä,korkeakoulututkinto,korkeakoulututkintoa vaativa tehtävä,julkinen,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä,ei mitään näistä,alle 1 000 euroa,0 %,ei ulkopuolista vaalirahoitusta,,,,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,,,,,,,,,,,,,,,jokseenkin eri mieltä,,,,,,,,,,,,,,,jokseenkin eri mieltä,,,,,,,,,,,,,,,jokin muu puolue,Päivi Räsänen
01 Helsingin vaalipiiri,2709,Ahola,Riku,Vasemmistoliitto,30,M,0,0,0,Helsinki,50,"ylioppilasmerkonomi, valtiotieteiden kandidaatti",ei,Minä ja akvaario,penkkiurheilu,Maksuton koulutus on demokratian lähtökohta. Jokaiselle peruskoulun päättäneelle on taattava toisen asteen opiskelupaikka tai oppisopimuskoulutus. Tie työelämään lähtee kunnollisesta koulutuksesta.,suomi,suomi|ruotsi|englanti|saksa|italia,korkeakoulututkinto,opiskelija,yksityinen,evankelis-luterilainen kirkko,kyllä,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä,1 000-5 000 euroa,81-100%,yksityiset lahjoitukset,"Työnantaja: Ikea Suomi  Vaalitukea: yksityisiltä lahjoittajilta, työväenyhdistyksiltä ja Pamilta sekä Jhl:ltä.",alle 20 000 euroa,0-10 000 euroa,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,,,,,,,,,,,,,,,jokseenkin samaa mieltä,,,,,,,,,,,,,,,täysin samaa mieltä,,,,,,,,,,,,,,,keskusta|sdp|vasemmistoliitto|vihreät,Paavo Arhinmäki
01 Helsingin vaalipiiri,2820,Ahosilta,Tomi,Muutos 2011,40,M,0,0,0,Helsinki,114,"sosiaalikasvattaja, lastentarhanopettaja",kyllä,vaimo ja kaksi lasta,musiikki,"Pelimonopolin poistaminen, sananvapaus, lapsiperheiden asiat, kovemmat rangaistukset seksuaali- ja väkivalta rikollisille.",suomi,suomi|englanti,ammattitutkinto,työntekijä,,,kyllä,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä,,,,,,,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,en osaa sanoa,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,,,,,,,,,,,,,,,jokseenkin samaa mieltä,,,,,,,,,,,,,,,jokseenkin samaa mieltä,,,,,,,,,,,,,,,keskusta|kokoomus|kristillisdemokraatit|perussuomalaiset|jokin muu puolue,Mari Kiviniemi
01 Helsingin vaalipiiri,3324,Alanko-Kahiluoto,Outi,Vihreä liitto,44,F,1,1,0,Helsinki,3,"kansanedustaja, tutkija",kyllä,"aviopuoliso, teatteriohjaaja Atro Kahiluoto sekä kaksi kouluikäistä lastamme, tyttö 11v. ja poika 14 v.",kirjallisuus ja elokuvat,"Olen ehdolla näissä vaaleissa, koska haluan tehdä töitä oikeudenmukaisemman Suomen puolesta. En hyväksy eriarvoisuuden kasvua. Tuloeroja on kavennettava ja köyhyys on poistettava. Hyvinvointi kuuluu kaikille.     Ilmastonsuojelun etenemiseksi on säädettävä ilmastolaki.    Lue lisää kotisivuiltani: www.outialanko.fi",suomi,suomi|ruotsi|englanti|saksa|ranska,korkeakoulututkinto,korkeakoulututkintoa vaativa tehtävä,julkinen,evankelis-luterilainen kirkko,kyllä,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä|kunnan- tai kaupunginvaltuusto|kansanedustaja,20 000-50 000 euroa,1-20 %,yksityiset lahjoitukset,,50 000-70 000 euroa,ei sijoituksia,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,,,,,,,,,,,,,,,jokseenkin samaa mieltä,,,,,,,,,,,,,,,jokseenkin samaa mieltä,,,,,,,,,,,,,,,keskusta|sdp|vihreät,Anni Sinnemäki
01 Helsingin vaalipiiri,3647,Alhojärvi,Lauri,Suomen Kommunistinen Puolue,27,M,0,0,0,Helsinki,29,"koulunkäyntiavustaja, muusikko",,,musiikki,"Päättäjien ensisijaisena tehtävänä on luoda valoisa tulevaisuus. Tämän lisäksi olisi mukavaa, jos edes tämän hetken pahimmat sosiaaliset ongelmat korjattaisiin. Tässä siis pääteemani vaaleissa:    Planeetta säilytettävä:   Ilmastolaki. Uusiutuva energia. Maksuton joukkoliikenne.    Lapset ja nuoret etusijalle:   Työaika kuuteen tuntiin. Koulupsykologit takaisin. Päiväkodeille lisää resursseja.    Ihmisarvoinen elämä kaikille:   Jokaiselle asunto. Perusturva 900 euroon. Rasismille jyrkkä EI!",suomi,suomi|ruotsi|englanti|saksa|ranska|joku muu,ylioppilas,,,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä,alle 1 000 euroa,0 %,ei ulkopuolista vaalirahoitusta,Olen sidottu tekemään raskasta työtä pienellä palkalla.,alle 20 000 euroa,,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,,,,,,,,,,,,,,,täysin eri mieltä,,,,,,,,,,,,,,,täysin eri mieltä,,,,,,,,,,,,,,,jokin muu puolue,Joku muu
01 Helsingin vaalipiiri,3750,Alku,Antero,Suomen Keskusta,55,M,0,0,0,Helsinki,210,"diplomi-insinööri, yrittäjä",kyllä,vaimo ja kolme aikuista lasta.,internet,"Helsingin metropolialueen rakenteen ja hallinnon uudistus. Kestävän kehityksen mukaisen elämäntavan mahdollisuus kuten oikeus autottomaan elämään ja lähipalveluihin. Liikennejärjestelmän kehittäminen asiakkaan lähtökohdista ja joukkoliikenteen rahoittaminen vastaavalla tavalla kuin tieliikennettä rahoitetaan kaikkialla saatavilla olevana yhteiskunnan palveluna. Valtion rataverkon avaaminen kaikkien toimijoiden käyttöön kuten on tilanne tie-, vesi- ja ilmaliikenteessä.",suomi,suomi|ruotsi|englanti|saksa|ranska,korkeakoulututkinto,yrittäjä,yksityinen,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä,1 000-5 000 euroa,1-20 %,yksityiset lahjoitukset,,20 000-30 000 euroa,0-10 000 euroa,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,en osaa sanoa,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,,,,,,,,,,,,,,,täysin eri mieltä,,,,,,,,,,,,,,,jokseenkin samaa mieltä,,,,,,,,,,,,,,,keskusta|kokoomus|vihreät,Mari Kiviniemi
01 Helsingin vaalipiiri,3080,Apajalahti,Ahto,Piraattipuolue,23,M,0,0,0,Helsinki,168,"puolueen varapuheenjohtaja, filosofian ylioppilas",ei,,,"Minulle tärkeitä ovat Piraattipuolueen ajama tekijänoikeusjärjestelmän lieventäminen, sananvapauden ja yksityisyyden puolustaminen erityisesti verkossa, avoimuuden ja demokratian kehittäminen sekä yleisesti järkevämpi tietoyhteiskuntakehitys.    Yleisesti politiikassa kannatan vapauden lisäämistä sekä kontrollin ja holhouksen vähentämistä. Jokaisen on saatava elää siten kuin haluaa, kunhan ei vahingoita muita. Holhouksen vähentäminen ei merkitse hyvinvointivaltion alasajoa vaan ihmisten kunnioittamista yksilöinä, jotka ovat itse parhaita omien tarpeidensa tuntijoita.",suomi,suomi|ruotsi|englanti|saksa,,opiskelija,,evankelis-luterilainen kirkko,kyllä,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä,alle 1 000 euroa,1-20 %,yksityiset lahjoitukset,Ei ole.,alle 20 000 euroa,ei sijoituksia,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin eri mieltä,en osaa sanoa,jokseenkin samaa mieltä,en osaa sanoa,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,en osaa sanoa,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,,,,,,,,,,,,,,,täysin eri mieltä,,,,,,,,,,,,,,,täysin samaa mieltä,,,,,,,,,,,,,,,jokin muu puolue,Joku muu
01 Helsingin vaalipiiri,3010,Arhinmäki,Paavo,Vasemmistoliitto,34,M,1,1,0,,51,"puolueen puheenjohtaja, kansanedustaja",ei,avopuoliso ja suomenajokoira,penkkiurheilu,"Perusturvan parantaminen, tuloerojen kaventaminen, laadukkaat julkiset palvelut, kohtuuhintaiset asunnot, inhimillinen työelämä.",suomi,suomi|ruotsi|englanti,ylioppilas,joku muu,julkinen,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä|kunnan- tai kaupunginvaltuusto|kuntayhtymä tai maakuntahallinto|kansanedustaja,20 000-50 000 euroa,51-80 %,puolueen tuki,"Itellan hallintoneuvoston jäsen, HOK-Elannon edustajiston jäsen.",70 000-100 000 euroa,ei sijoituksia,täysin eri mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin samaa mieltä,täysin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,,täysin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,täysin eri mieltä,täysin samaa mieltä,,,,,,,,,,,,,,,jokseenkin samaa mieltä,,,,,,,,,,,,,,,jokseenkin samaa mieltä,,,,,,,,,,,,,,,keskusta|sdp|vasemmistoliitto|vihreät,Paavo Arhinmäki
01 Helsingin vaalipiiri,2596,Asko-Seljavaara,Sirpa,Kansallinen Kokoomus,71,F,0,0,0,Helsinki,71,"kansanedustaja, professori",kyllä,"Miehin Seppo, koirani Rölli ja papukaija Roope.  Lpasia on 2 ja lastenlapsia 4",kirjallisuus ja elokuvat,Hyvää terveydenhoitoa ja vanhusten sekä ikäihmisten asioita,suomi,suomi|ruotsi|englanti|saksa,korkeakoulututkinto,asiantuntijatehtävä,julkinen,evankelis-luterilainen kirkko,kyllä,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä|kunnan- tai kaupunginvaltuusto|kuntayhtymä tai maakuntahallinto|kansanedustaja,20 000-50 000 euroa,1-20 %,yritysten tuki,ei ole,yli 100 000 euroa,200 000-500 000 euroa,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,jokseenkin samaa mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin samaa mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin eri mieltä,jokseenkin samaa mieltä,täysin eri mieltä,jokseenkin eri mieltä,täysin samaa mieltä,täysin eri mieltä,,,,,,,,,,,,,,,täysin samaa mieltä,,,,,,,,,,,,,,,täysin samaa mieltä,,,,,,,,,,,,,,,keskusta|kokoomus|sdp|kristillisdemokraatit,Jyrki Katainen
